state,state_abbreviation,county,zip,name,address,city,schedule,notes,phone,county website,type
Pennsylvannia,PA,Allegheny,15239,Allegheny Boyce Park Ski Lodge,901 Centerview Drive ,Plum,Monday-Friday: 8:30 AM Ð 4:30 PM,"Additional Hours: {October 17th: 9 AM to 5 PM, October 18th: 11 AM to 7 PM, October 24th : 9 AM to 5 PM, October 25th: 11 AM to 7 PM, November 3: 7 AM Ð 8 PM}",(412) 350-4500,https://alleghenyvotes.com/ballot-return/,earlyVoting
Pennsylvannia,PA,Allegheny,15208,Allegheny CCAC Homewood,701 N. Homewood Avenue ,Pittsburgh,Monday-Friday: 8:30 AM Ð 4:30 PM,"Additional Hours: {October 10th - 9 AM to 5 PM, October 11th - 11 AM to 7 PM, November 3: 7 AM Ð 8 PM}",(412) 350-4500,https://alleghenyvotes.com/ballot-return/,earlyVoting
Pennsylvannia,PA,Allegheny,15122,Allegheny CCAC South,1750 Clairton Road ,West Mifflin,Monday-Friday: 8:30 AM Ð 4:30 PM,"Additional Hours: {October 17th - 9 AM to 5 PM, October 18th - 11 AM to 7 PM, October 24th - 9 AM to 5 PM, October 25th - 11 AM to 7 PM, November 3: 7 AM Ð 8 PM}",(412) 350-4500,https://alleghenyvotes.com/ballot-return/,earlyVoting
Pennsylvannia,PA,Allegheny,15219,Allegheny County Board of Elections,542 Forbes Avenue ,Pittsburgh,Monday-Friday: 8:30 AM Ð 4:30 PM,"Additional Hours: {October 10th - 9 AM to 5 PM, October 11th - 11 AM to 7 PM, October 17th - 9 AM to 5 PM, October 18th - 11 AM to 7 PM, October 24th - 9 AM to 5 PM, October 25th - 11 AM to 7 PM, November 3: 7 AM Ð 8 PM}",(412) 350-4500,https://alleghenyvotes.com/ballot-return/,earlyVoting
Pennsylvannia,PA,Allegheny,15106,Allegheny DPW Garage #2,1040 Campbells Run Road ,Carnegie,Monday-Friday: 8:30 AM Ð 4:30 PM,"Additional Hours: {October 10th - 9 AM to 5 PM, October 11th - 11 AM to 7 PM, November 3: 7 AM Ð 8 PM}",(412) 350-4500,https://alleghenyvotes.com/ballot-return/,earlyVoting
Pennsylvannia,PA,Allegheny,15090,Allegheny North Park Ice Rink,1200 Pearce Mill Road ,Wexford,Monday-Friday: 8:30 AM Ð 4:30 PM,"Additional Hours: {October 10th - 9 AM to 5 PM, October 11th - 11 AM to 7 PM, October 24th - 9 AM to 5 PM, October 25th - 11 AM to 7 PM, November 3: 7 AM Ð 8 PM}",(412) 350-4500,https://alleghenyvotes.com/ballot-return/,earlyVoting
Pennsylvannia,PA,Allegheny,15219,Allegheny Shop 'n Save Hill District,1850 Centre Ave ,Pittsburgh,Monday-Friday: 8:30 AM Ð 4:30 PM,"Additional Hours: {October 17th - 9 AM to 5 PM, October 18th - 11 AM to 7 PM, November 3: 7 AM Ð 8 PM}",(412) 350-4500,https://alleghenyvotes.com/ballot-return/,earlyVoting
Pennsylvannia,PA,Allegheny,15102,Allegheny South Park Ice Rink,30 Corrigan Drive ,Bethel Park,Monday-Friday: 8:30 AM Ð 4:30 PM,"Additional Hours: {October 10th - 9 AM to 5 PM, October 11th - 11 AM to 7 PM, October 17th - 9 AM to 5 PM, October 18th - 11 AM to 7 PM, November 3: 7 AM Ð 8 PM}",(412) 350-4500,https://alleghenyvotes.com/ballot-return/,earlyVoting
Pennsylvannia,PA,Allegheny,15212,CCAC Allegheny,808 Ridge Avenue ,Pittsburgh,Monday-Friday: 8:30 AM Ð 4:30 PM,"Additional Hours: {October 24th - 9 AM to 5 PM, October 25th - 11 AM to 7 PM, November 3: 7 AM Ð 8 PM}",(412) 350-4500,https://alleghenyvotes.com/ballot-return/,earlyVoting
Pennsylvannia,PA,Armstrong,16201,Armstrong County Board of Elections,"450 Market Street ,Suite 207",Kittanning,NA,,(724) 548-3222,https://www.co.armstrong.pa.us/index.php/departments-m/elections-voters-registration-m,earlyVoting
Pennsylvannia,PA,Beaver,15009,Beaver County Board of Elections,810 Third Street ,Beaver,8:30 A.M. Ð 4:30 P.M.,,(724) 770-4440,http://www.beavercountypa.gov/Depts/Elections/Pages/default.aspx,earlyVoting
Pennsylvannia,PA,Bedford,15522,Bedford County Board of Elections,"200 S Juliana St ,Suite 300",Bedford,Courthouse is open Monday-Friday 8:30 a.m. to 4:30 p.m. and Closed on Holidays,,(814) 623-4807,http://www.bedfordcountypa.org/departments/elections/election_applications.php,earlyVoting
Pennsylvannia,PA,Berks,19601,Berks County Board of Elections,"633 Court Street ,Main Entrance Lobby",Reading,"Mon-Fri, 8 a.m. Ð 5 p.m.",,(610) 478-6490,https://www.co.berks.pa.us/Dept/Elections/Pages/default.aspx,earlyVoting
Pennsylvannia,PA,Blair,16648,Blair County Board of Elections,"423 Allegheny Street ,Suite 43",Hollidaysburg,NA,,(814) 693-3150,http://www.blairco.org/Dept/Elections/Pages/default.aspx,earlyVoting
Pennsylvannia,PA,Bradford,18848,Bradford County Board of Elections,"6 Court Street ,Suite 2",Towanda,Monday-Friday 9:00 AM to 5:00 PM,,(570) 265-1717,https://bradfordcountypa.org/department/elections/,earlyVoting
Pennsylvannia,PA,Bucks,18901,Bucks County Administration Building,55 E. Court St. ,Doylestown,"8:00 am to 5:00 pm, Monday through Friday",,(215) 348-6154,http://www.buckscounty.org/government/administration/ChiefClerk/BoardofElections,earlyVoting
Pennsylvannia,PA,Bucks,19055,Lower Bucks Government Services Center,7321 New Falls Road ,Levittown,"Hours 8:00 am to 4:30 pm, Monday through Friday",,(215) 348-6154,http://www.buckscounty.org/government/administration/ChiefClerk/BoardofElections,earlyVoting
Pennsylvannia,PA,Bucks,18951,Upper Bucks Government Center,261 California Rd. ,Quakertown,"Hours 8:00 am to 4:30 pm, Monday through Friday",,(215) 348-6154,http://www.buckscounty.org/government/administration/ChiefClerk/BoardofElections,earlyVoting
Pennsylvannia,PA,Butler,16001,Butler County Board of Elections,124 W Diamond Street ,Butler,NA,,(724) 284-5308,https://www.butlercountypa.gov/160/Bureau-of-Elections,earlyVoting
Pennsylvannia,PA,Cambria,15931,Cambria County Board of Elections,"200 South Center Street ,ELECTIONS/VOTER REGISTRATION OFFICE",Ebensberg,Monday - Friday 9 a.m. to 4 p.m.,,(814) 472-1464,https://www.cambriacountypa.gov/election-and-voter-registration.aspx,earlyVoting
Pennsylvannia,PA,Cameron,15834,Cameron County Board of Elections,20 E. 5th St. ,Emporium,NA,,(814) 486-2315,NA,earlyVoting
Pennsylvannia,PA,Carbon,18229,Carbon County Board of Elections,76 Susquehanna St. ,Jim Thorpe,NA,,(570) 325-4801,https://www.carboncounty.com/index.php/2-uncategorised/60-elections,earlyVoting
Pennsylvannia,PA,Chester,19380,Chester County Government Services Center,"601 Westtown Rd ,Suite 150",West Chester,"Starting October 13: 24 hours/day, 7 days/week",,(610) 344-6410,https://www.chesco.org/4758/Drop-Off-Locations,earlyVoting
Pennsylvannia,PA,Chester,19425,Henrietta Hankin Library,215 Windgate Dr. ,Chester Springs,"Starting October 7: Mon 9:30AM-5:00PM, Tue  9:30AM-8:00PM, Wed 9:30AM-5:00PM, Thur 9:30AM-8:00PM, Fri    9:30AM-5:00PM, Sat   9:00AM-1:00PM",,(610) 344-6410,https://www.chesco.org/4758/Drop-Off-Locations,earlyVoting
Pennsylvannia,PA,Chester,19425,Oxford Library Company,48 S 2nd Street ,Oxford,"Starting October 7: Mon  10:00AM-5:00PM, Tue     1:00PM-8:00PM, Wed  10:00AM-5:00PM, Thur    1:00PM-8:00PM, Fri     10:00AM-2:00PM, Sat      9:00AM-1:00PM",,(610) 344-6410,https://www.chesco.org/4758/Drop-Off-Locations,earlyVoting
Pennsylvannia,PA,Clarion,16214,Clarion County Board of Elections,330 Main Street ,Clarion,Monday Ð Friday: 8:30 am Ð 4:30 pm,,(814) 226-4000,http://www.co.clarion.pa.us/Dept/Elections/Pages/default.aspx,earlyVoting
Pennsylvannia,PA,Clearfield,16830,Clearfield County Board of Elections,212 East Locust Street ,Clearfield,Monday - Friday: 8:30am - 4pm,,(814) 765-2642,https://clearfieldco.org/election-central/,earlyVoting
Pennsylvannia,PA,Clinton,17745,Clinton County Board of Elections,"2 Piper Way ,Suite 309",Lock Haven,"{Monday, Tuesday, Thursday, Friday: 8:00am - 5:00pm , Wednesday: 8:00am - 12:30pm}",,(570) 893-4019,https://www.clintoncountypa.com/departments/voter-registration,earlyVoting
Pennsylvannia,PA,Columbia,17815,Columbia County Board of Elections,11 W. Main Street ,Bloomsburg,NA,,(570) 389-5640,http://www.columbiapa.org/voter/,earlyVoting
Pennsylvannia,PA,Crawford,16335,Crawford County Board of Elections,903 Diamond Park ,Meadville,Monday - Friday: 8:30 AM to 4:30 PM,,(814) 333-7307,https://www.crawfordcountypa.net/VoterServices/Pages/home.aspx,earlyVoting
Pennsylvannia,PA,Cumberland,17013,Cumberland County Board of Elections,1601 Ritner Highway ,Carlisle,Monday - Friday: 8 a.m. - 4:30 p.m.,,(717) 240-6385,https://www.ccpa.net/66/Bureau-of-Elections,earlyVoting
Pennsylvannia,PA,Dauphin,17108,Dauphin County Board of Elections,2 S. 2nd St. ,Harrisburg,NA,,(717) 780-6360,https://www.dauphincounty.org/government/departments/elections_and_voter_registration/index.php,earlyVoting
Pennsylvannia,PA,Delaware,19013,Chester City Hall,1 E 4th St. ,Chester,"{Mon through Fri: 9:00 a.m. Ð 2:00 p.m., Sat: 10:00 a.m. Ð 2 p.m.}",,(610) 891-4673,https://delcopa.gov/vote/voterservicecenters.html,earlyVoting
Pennsylvannia,PA,Delaware,19063,Delaware County Board of Elections,201 W. Front St. ,Media,"{Mon/Wed/Fri: 8:30 a.m. Ð 4:30 p.m., Tues/Thurs: 8:30 a.m. Ð 8:00 p.m., Sat: 9:00 a.m. Ð noon}",,(610) 891-4673,https://delcopa.gov/vote/voterservicecenters.html,earlyVoting
Pennsylvannia,PA,Delaware,19082,Delaware County Department of Human Services,"20 S. 69th Street ,4th Fl.",Upper Darby,"{Mon/Wed/Fri: 7:30 a.m. Ð 2:00 p.m., Sat: 10:00 a.m. Ð 2:00 p.m.}",,(610) 891-4673,https://delcopa.gov/vote/voterservicecenters.html,earlyVoting
Pennsylvannia,PA,Elk,15853,Elk County Board of Elections,300 Center St. ,Ridgway,Monday thru Friday: 8:30 - 4:00,,(814) 776-5337,http://www.co.elk.pa.us/index.php/contact-info,earlyVoting
Pennsylvannia,PA,Erie,16501,Erie County Board of Elections,"140 W. 6th St. ,Rm. 112",Erie,Dropbox: 24/7,,(814) 451-6276,https://eriecountypa.gov/departments/elections-voting/registration-and-voting/mail-in-and-absentee-ballots/,earlyVoting
Pennsylvannia,PA,Fayette,15401,Fayette County Board of Elections,22 E. Main St. ,Uniontown,Monday - Friday: 8 a.m. - 4:30 p.m.,,(724) 430-1289,https://www.fayettecountypa.org/236/Election-Board,earlyVoting
Pennsylvannia,PA,Forest,16353,Forest County Board of Elections,526 Elm Street ,Tionesta,Monday through Friday: 8:00 am until 4:00 pm,,(814) 755-3537,http://www.co.forest.pa.us/departments/elections_and_voter_regisration.php,earlyVoting
Pennsylvannia,PA,Franklin,17201,Franklin County Board of Elections,"2 N Main Street ,Old Courthouse",Chambersburg,M - F: 8:30am - 4:30pm,,(717) 261-3810,https://www.franklincountypa.gov/index.php?section=governments_voter-registration,earlyVoting
Pennsylvannia,PA,Fulton,17233,Fulton County Board of Elections,"116 West Market Street ,Suite 205",McConnellsburg,Monday - Friday: 8:00am - 4:30pm,,(717) 485-6864,https://www.co.fulton.pa.us/elections.php,earlyVoting
Pennsylvannia,PA,Greene,15370,Greene County Board of Elections,93 E. High Street ,Waynesburg,M-F: 8:30AM to 4:30 PM,,(724) 852-5304,https://www.co.greene.pa.us/Department-Elections-Voter-Registration,earlyVoting
Pennsylvannia,PA,Huntingdon,16652,Huntingdon County Board of Elections,233 Penn Street ,Huntingdon,Monday - Friday: 8:30am Ð 4:30pm,,(814) 643-3091,http://www.huntingdoncounty.net/Dept/Commissioners/Elections/Pages/default.aspx,earlyVoting
Pennsylvannia,PA,Indiana,15701,Indiana County Board of Elections,"825 Philadelphia Street ,Commissioners Office 2nd Floor",Indiana,Monday through Friday: 8:30 a.m. to 4 p.m.,,(724) 465-3805,https://www.indianacountypa.gov/departments/voting-and-elections/elections/,earlyVoting
Pennsylvannia,PA,Jefferson,15825,Jefferson County Board of Elections,155 Main Street ,Brookville,NA,,(814) 849-1603,http://www.jeffersoncountypa.com/voter-registration/,earlyVoting
Pennsylvannia,PA,Juniata,17059,Juniata County Board of Elections,"26 N. Main Street ,The Bousum Building",Mifflintown,Monday through Friday: 8:00 A.M. to 4:30 P.M.,,(717) 436-7706,https://www.juniataco.org/departments/voter-registration/,earlyVoting
Pennsylvannia,PA,Lackawanna,18503,Lackawanna County Department of Elections,"123 Wyoming Avenue ,Lackawanna County Government Center",Scranton,Monday through Friday (except holidays): 9:00 A.M. to 4:00 P.M,,(570) 963-6737,https://www.lackawannacounty.org/index.php/departmentsagencies/elections/voter-registration,earlyVoting
Pennsylvannia,PA,Lancaster,17603,Lancaster County Board of Elections,"150 N. Queen St. ,Suite 117",Lancaster,Monday - Friday: 8:30 a.m. - 5 p.m.,,(717) 299-8293,https://co.lancaster.pa.us/1282/Mail-in-Ballot-Voting,earlyVoting
Pennsylvannia,PA,Lawrence,16101,Lawrence County Board of Elections,430 Court St. ,New Castle,NA,,(724) 656-2161,http://co.lawrence.pa.us/departments/voter-registration-and-elections-lawrence_county/,earlyVoting
Pennsylvannia,PA,Lebanon,17042,Lebanon County Board of Elections,"400 South 8th Street ,Municipal Building, Room 209",Lebanon,Monday through Friday: 8:30 A.M. to 4:30 P.M.,,(717) 228-4428,http://www.lebcounty.org/depts/Voter_Registration/Pages/default.aspx,earlyVoting
Pennsylvannia,PA,Lehigh,18101,Lehigh County Office of Elections and Voter Registration,17 South Seventh Street ,Allentown,8:00 a.m. to 4:00 p.m.   Monday through Friday,,(610) 782-3194,https://www.lehighcounty.org/Departments/Voter-Registration/Voter-Office-Information,earlyVoting
Pennsylvannia,PA,Luzerne,18701,"Luzerne County Bureau of Elections, Penn Place",20 N Pennsylvania Avenue ,Wilkes-Barre,Monday - Friday: 9 a.m. - 4 :30 p.m.,,(570) 825-1715,https://www.luzernecounty.org/396/Elections,earlyVoting
Pennsylvannia,PA,Lycoming,17701,Lycoming County Board of Elections,33 West Third Street ,Williamsport,Monday-Friday: 8:30am-5:00pm,,(570) 327-2267,http://www.lyco.org/Departments/Voter-Services,earlyVoting
Pennsylvannia,PA,McKean,16749,McKean County Board of Elections,500 West Main Street ,Smethport,NA,,(814) 887-3203,https://www.mckeancountypa.org/departments/voter_registration_and_elections/index.php,earlyVoting
Pennsylvannia,PA,Mercer,16137,Mercer County Board of Elections,5 Mercer County Courthouse ,Mercer,Monday - Friday: 8:30 am - 4:30 pm,,(724) 662-7542,https://www.mcc.co.mercer.pa.us/Election/default.HTM,earlyVoting
Pennsylvannia,PA,Mifflin,17044,Mifflin County Board of Elections,20 N. Wayne St. ,Lewistown,Monday thru Friday: 8:00am - 4:00pm,,(717) 248-6571,http://www.co.mifflin.pa.us/dept/VoterReg/Pages/default.aspx,earlyVoting
Pennsylvannia,PA,Monroe,18360,Monroe County Office of Elections and Voter Registration,"One Quaker Plaza ,Room 105",Stroudsburg,8:30 AM to 4:30 PM Monday-Friday,,(570) 517-3165,http://www.monroecountypa.gov/Dept/Voter/Pages/default.aspx,earlyVoting
Pennsylvannia,PA,Montgomery,19410,Montgomery County Board of Elections Office,One Montgomery Plaza ,Norristown,"October 10th to October 26th: {Monday/Wednesday/Friday: 8am - 4:30pm, Tuesday/Thursday: 8am - 8pm, Saturday/Sunday"" 11am-4pm}",,(610) 278-3275,https://www.montcopa.org/753/Voter-Services,earlyVoting
Pennsylvannia,PA,Montgomery,19464,Montgomery County Community College West Campus,101 College Drive ,Pottstown,NA,,(610) 278-3275,https://www.montcopa.org/753/Voter-Services,earlyVoting
Pennsylvannia,PA,Montgomery,19401,Montgomery County Human Services Center,1430 Dekalb Street ,Norristown,"October 3rd - October 30th: Monday, Wednesday & Friday - 9:00 AM through 4:00 PM, Tuesday & Thursday - 11:00 AM through 6:00 PM, Saturday & Sunday - 11:00 AM through 4:00 PM, October 31st & November 1st: Saturday & Sunday - 10:00 AM through 6:00 PM, November 2nd & November 3rd: Monday & Tuesday - 9:00 AM through 8:00 PM
",,(610) 278-3275,https://www.montcopa.org/753/Voter-Services,earlyVoting
Pennsylvannia,PA,Montgomery,19446,Montgomery County Lansdale Office,421 West Main Street ,Lansdale,"{October 10th: 11am - 4pm, October 13th: 4pm-8pm, October 15th: 4pm -8 pm, October 17th: 11am-4pm, October 18th: 11am - 4pm, October 20th: 4pm - 8pm, October 22: 4pm - 8pm, October 24th: 11am - 4pm, October 25th: 11am-4pm, October 26th: 4pm - 8pm}",,(610) 278-3275,https://www.montcopa.org/753/Voter-Services,earlyVoting
Pennsylvannia,PA,Montgomery,19072,Montgomery County Magisterial District Court Office-Lower Merion,925 Montgomery Avenue ,Narberth,"{October 11th: 11am - 4pm, October 13th: 4pm-8pm, October 15th: 4pm -8 pm, October 17th: 11am-4pm, October 18th: 11am - 4pm, October 20th: 4pm - 8pm, October 22: 4pm - 8pm, October 24th: 11am - 4pm, October 25th: 11am-4pm, October 26th: 4pm - 8pm}",,(610) 278-3275,https://www.montcopa.org/753/Voter-Services,earlyVoting
Pennsylvannia,PA,Montgomery,19090,Montgomery County Willow Grove Annex,102 N. York Road ,Willow Grove,"{October 11th: 11am - 4pm, October 13th: 4pm-8pm, October 15th: 4pm -8 pm, October 17th: 11am-4pm, October 18th: 11am - 4pm, October 20th: 4pm - 8pm, October 22: 4pm - 8pm, October 24th: 11am - 4pm, October 25th: 11am-4pm, October 26th: 4pm - 8pm}",,(610) 278-3275,https://www.montcopa.org/753/Voter-Services,earlyVoting
Pennsylvannia,PA,Montour,17821,Montour County Board of Elections,253 Mill Street ,Danville,9:00 a.m.-4:00 p.m,,(570) 271-3000,http://www.montourco.org/Pages/ElectionsAndVoterRegistration.aspx,earlyVoting
Pennsylvannia,PA,Northampton,18042,Northampton County Office of Elections and Voter Registration,"669 Washington St. ,Room 1211",Easton,"{M-F: 8:30am-8pm, Saturday: 8am-12pm}",,(610) 829-6260,https://www.northamptoncounty.org/CTYADMN/ELECTNS/Pages/About-Us.aspx,earlyVoting
Pennsylvannia,PA,Northumberland,17801,Northumberland County Board of Elections,"320 North Second Street ,Suite 1",Sunbury,"{Monday 9:00a Ð 5:00p:, Tues. Ð Fri.  9:00a Ð 4:30p}",,(570) 988-4209,https://www.norrycopa.net/index.php/board-of-elections/,earlyVoting
Pennsylvannia,PA,Perry,17068,Perry County Board of Elections,"Veterans Memorial Building, PO Box 37 ",New Bloomfield,Monday through Friday: 8:00 am to 4:00 pm,,(717) 582-2131,https://perryco.org/departments/elections-voter-registration/,earlyVoting
Pennsylvannia,PA,Philadelphia,19138,A. B. Day School,6324 Crittenden St ,Philadelphia,"{Monday - Thursday: 11:30am to 6:30pm, Friday/Saturday/Sunday: 9:30am to 4:30pm}",,(215) 686-3469,https://www.philadelphiavotes.com/en/voters/mail-in-and-absentee-ballots,earlyVoting
Pennsylvannia,PA,Philadelphia,19139,Alain Locke School,4550 Haverford Ave ,Philadelphia,Not open yet,,(215) 686-3469,https://www.philadelphiavotes.com/en/voters/mail-in-and-absentee-ballots,earlyVoting
Pennsylvannia,PA,Philadelphia,19107,"City Hall, Room 140",1400 John F Kennedy Blvd ,Philadelphia,"{Monday - Thursday: 11:30am to 6:30pm, Friday/Saturday/Sunday: 9:30am to 4:30pm}",,(215) 686-3469,https://www.philadelphiavotes.com/en/voters/mail-in-and-absentee-ballots,earlyVoting
Pennsylvannia,PA,Philadelphia,19147,Creative And Performing Arts,901 S Broad St ,Philadelphia,Not open yet,,(215) 686-3469,https://www.philadelphiavotes.com/en/voters/mail-in-and-absentee-ballots,earlyVoting
Pennsylvannia,PA,Philadelphia,19120,Feltonville Intermediate School,238 E Wyoming Ave ,Philadelphia,Not open yet,,(215) 686-3469,https://www.philadelphiavotes.com/en/voters/mail-in-and-absentee-ballots,earlyVoting
Pennsylvannia,PA,Philadelphia,19116,George Washington High School,10175 Bustleton Ave ,Philadelphia,"{Monday - Thursday: 11:30am to 6:30pm, Friday/Saturday/Sunday: 9:30am to 4:30pm}",,(215) 686-3469,https://www.philadelphiavotes.com/en/voters/mail-in-and-absentee-ballots,earlyVoting
Pennsylvannia,PA,Philadelphia,19124,Harding Middle School,2000 Wakeling Street ,Philadelphia,Not open yet,,(215) 686-3469,https://www.philadelphiavotes.com/en/voters/mail-in-and-absentee-ballots,earlyVoting
Pennsylvannia,PA,Philadelphia,19111,J Hampton Moore School,6900 Summerdale Ave ,Philadelphia,Not open yet,,(215) 686-3469,https://www.philadelphiavotes.com/en/voters/mail-in-and-absentee-ballots,earlyVoting
Pennsylvannia,PA,Philadelphia,19136,Joseph H. Brown School,3600 Stanwood St ,Philadelphia,Not open yet,,(215) 686-3469,https://www.philadelphiavotes.com/en/voters/mail-in-and-absentee-ballots,earlyVoting
Pennsylvannia,PA,Philadelphia,19133,Julia De Burgos Elementary,401 W Lehigh Ave ,Philadelphia,"{Monday - Thursday: 11:30am to 6:30pm, Friday/Saturday/Sunday: 9:30am to 4:30pm}",,(215) 686-3469,https://www.philadelphiavotes.com/en/voters/mail-in-and-absentee-ballots,earlyVoting
Pennsylvannia,PA,Philadelphia,19141,Julia Ward Howe School,5800 N 13th St ,Philadelphia,Not open yet,,(215) 686-3469,https://www.philadelphiavotes.com/en/voters/mail-in-and-absentee-ballots,earlyVoting
Pennsylvannia,PA,Philadelphia,19134,Mastbaum High School,3116 Frankford Ave ,Philadelphia,Not open yet,,(215) 686-3469,https://www.philadelphiavotes.com/en/voters/mail-in-and-absentee-ballots,earlyVoting
Pennsylvannia,PA,Philadelphia,19151,Overbrook Elementary School,2032 N 62nd St ,Philadelphia,"{Monday - Thursday: 11:30am to 6:30pm, Friday/Saturday/Sunday: 9:30am to 4:30pm}",,(215) 686-3469,https://www.philadelphiavotes.com/en/voters/mail-in-and-absentee-ballots,earlyVoting
Pennsylvannia,PA,Philadelphia,19123,"Riverview Place, 1st Floor",520 N Columbus Blvd ,Philadelphia,Not open yet,,(215) 686-3469,https://www.philadelphiavotes.com/en/voters/mail-in-and-absentee-ballots,earlyVoting
Pennsylvannia,PA,Philadelphia,19128,Roxborough High School,6498 Ridge Ave ,Philadelphia,"{Monday - Thursday: 11:30am to 6:30pm, Friday/Saturday/Sunday: 9:30am to 4:30pm}",,(215) 686-3469,https://www.philadelphiavotes.com/en/voters/mail-in-and-absentee-ballots,earlyVoting
Pennsylvannia,PA,Philadelphia,19121,The Liacouras Center,1776 N Broad St ,Philadelphia,"{Monday - Thursday: 11:30am to 6:30pm, Friday/Saturday/Sunday: 9:30am to 4:30pm}",,(215) 686-3469,https://www.philadelphiavotes.com/en/voters/mail-in-and-absentee-ballots,earlyVoting
Pennsylvannia,PA,Philadelphia,19142,Tilden Middle School,6601 Elmwood Ave ,Philadelphia,"{Monday - Thursday: 11:30am to 6:30pm, Friday/Saturday/Sunday: 9:30am to 4:30pm}",,(215) 686-3469,https://www.philadelphiavotes.com/en/voters/mail-in-and-absentee-ballots,earlyVoting
Pennsylvannia,PA,Pike,18337,Pike County Elections Office,506 Broad Street ,Milford,M-F:8:30 - 4:30,,(570) 296-3426,http://www.pikepa.org/elections,earlyVoting
Pennsylvannia,PA,Potter,16915,Potter County Board of Elections,"1 N. Main St., Suite 204 ,Gunzburger Building",Coudersport,NA,,(814) 274-8467,https://pottercountypa.net/post.php?pid=8,earlyVoting
Pennsylvannia,PA,Schuylkill,17901,Schuylkill County Board of Elections,420 North Centre Street ,Pottsville,NA,,(570) 628-1467,http://www.co.schuylkill.pa.us/Offices/Election/index.asp,earlyVoting
Pennsylvannia,PA,Snyder,17842,Snyder County Board of Elections,9 West Market Street ,Middleburg,NA,,(570) 837-4286,http://www.snydercounty.org/Depts/Elections/Pages/ElectionsandVoterRegistration.aspx,earlyVoting
Pennsylvannia,PA,Somerset,15501,Somerset County Board of Elections,"300 North Center Avenue ,Suite 340",Somerset,"Monday-Friday (Except on Legal Holidays): 8:30AM-4:00PM
",,(814) 445-1549,http://www.co.somerset.pa.us/department.asp?deptnum=90,earlyVoting
Pennsylvannia,PA,Sullivan,18626,Sullivan County Board of Elections,245 Muncy Street ,Laporte,NA,,(570) 946-5201,NA,earlyVoting
Pennsylvannia,PA,Susquehanna,18801,Susquehanna County Board of Elections,31 Lake Avenue ,Montrose,Mon-Fri: 8:30-4:30,,(570) 278-4600 x 4090,http://susqco.com/Dept/Voter/Pages/default.aspx,earlyVoting
Pennsylvannia,PA,Tioga,16901,Tioga County Board of Elections,118 Main Street ,Wellsboro,Monday thru Friday: 8:00 A.M. - 4:30 P.M.,,(570) 723-8230,http://www.tiogacountypa.us/Departments/Elections_Voter_Registration/Pages/ElectionsVoterRegistration.aspx,earlyVoting
Pennsylvannia,PA,Union,17837,Union County Board of Elections,155 N. 15th Street ,Lewisburg,Hours: 8:00 AM - 4:30 PM,,(570) 524-8603,https://www.unioncountypa.org/departments/elections-voter-registration/absentee-ballot-information/page.aspx?id=1309,earlyVoting
Pennsylvannia,PA,Venango,16323,Venango County Board of Elections,"1174 Elk Street ,Courthouse Annex, Second Floor",Franklin,Monday - Friday(Except legal holidays): 8:30 am - 4:30 pm,,(814) 432-9508,https://www.co.venango.pa.us/356/Voter-Registration-Election-Services,earlyVoting
Pennsylvannia,PA,Warren,16365,Warren County Board of Elections,204 4th Avenue ,Warren,NA,,(814) 728-3406,NA,earlyVoting
Pennsylvannia,PA,Washington,15301,Washington County Board of Elections,"100 W. Beau St. ,Suite 206",Washington,NA,,(724) 228-6750,http://www.co.washington.pa.us/129/Elections,earlyVoting
Pennsylvannia,PA,Wayne,18431,Wayne County Bureau of Elections,925 Court Street ,Honesdale,NA,,(570) 253-5978,http://waynecountypa.gov/203/Home,earlyVoting
Pennsylvannia,PA,Westmoreland,15601,Westmoreland County Board of Elections,"2 North Main Street ,Suite 109",Greensburg,NA,,(724) 830-3150,https://www.co.westmoreland.pa.us/251/Elections,earlyVoting
Pennsylvannia,PA,Wyoming,18657,Wyoming County Board of Elections,1 Courthouse Square ,Tunkhannock,Monday through Friday: 8:30 AM to 4:00 PM,,(570) 996-2226,http://www.wycopa.org/Offices/ElectVoter/Pages/default.aspx,earlyVoting
Pennsylvannia,PA,York,17401,York County Board of Elections,28 E. Market St. ,York,Hours: 8 a.m. to 4:30 p.m.,,(717) 771-9604,https://yorkcountypa.gov/voting-elections.html,earlyVoting
